var,descricao,descritor,nivel,peso
org_espaco_fis_rec_tec,"COLOCAR†E†ORGANIZAR†EM†UM†ESPAÁO†FÌSICO,†OS†RECURSOS†TECNOLOGICOS†DE†MODO†A†FAVORECER†O†DESENVOLVIMENTO†DA†APRENDIZAGEM†E†AS†INTERAÁıES†SOCIAIS.",ORGANIZA«√O E ADMINISTRA«√O,3,0.1
geren_ativ_adm_ped_proj_tec,"GERENCIAR†ATIVIDADES†ADMINISTRATIVAS†E/OU†PEDAGÛGICAS†COM†BASE†EM†PROJETO,†EM†UM†AMBIENTE†DE†TECNOLOGIA.",ORGANIZA«√O E ADMINISTRA«√O,3,0.7
geren_rec_dig_sem_interrup,GERENCIAR†RECURSOS†DIGITAIS†PARA†COMPLEMENTAR†ATIVIDADES†PEDAG”GICAS†E/OU†ADMINISTRATIVAS†INDIVIDUAIS†OU†EM†GRUPOS†SEM†INTERRUPÁ’ES.,ORGANIZA«√O E ADMINISTRA«√O,2,0.5
ident_recurso_tec_adequado,IDENTIFICAR††EM†UMA†ATIVIDADE†A†SER†REALIZADA†POR†VOC †QUAL†RECURSO†TECNOLOGICO†…†MAIS†ADEQUADO.,ORGANIZA«√O E ADMINISTRA«√O,1,0.7
notebook_ativ_adm,"INTEGRAR†O†NOTEBOOK†NAS†ATIVIDADES†ADMINISTRATIVAS†E†GERENCIAIS†(SGE,†SGD,†MOD†-†SISTEMA†DE†MOVIMENTAÁ„O†E†LOTAÁ„O)†OTIMIZANDO†CUSTOS.",ORGANIZA«√O E ADMINISTRA«√O,1,0.7
org_recurso_tec_amb_educ,ORGANIZAR†OS†RECURSOS†TECNOL”GICOS†NOS†DIVERSOS†AMBIENTES†EDUCACIONAIS††DE†MODO†A†AJUDAR†E†REFORÁAR†AS†ATIVIDADES†DE†APRENDIZAGEM†E†AS†INTERAÁ’ES†SOCIAIS.,ORGANIZA«√O E ADMINISTRA«√O,2,0.4
elab_obj_aprendizagem,"†ELABORAR†UM†OBJETO†DE†APRENDIZAGEM†UTILIZANDO†UM†DESTES†RECURSOS:†FLASH,†SIMULAÁıES,†SCRATCH.",PEDAGOGIA,3,1.0
ajudar_elab_ativ_online,"AJUDAR†O†PUBLICO-ALVO†NA†ELABORAÁ„O†DE†ATIVIDADES†ON†LINE†COMO†CONSTRUÁ„O†DE†UMA†WEBQUEST,†BLOG,†GOOGLEDOCS,†QUE†BUSCA††SOLUÁ„O†COLABORATIVA†DE†PROBLEMAS.",PEDAGOGIA,3,0.9
baixa_rec_pedag_portal_mec,BAIXAR†RECURSOS†PEDAGÛGICOS†DIGITAIS†DISPONIBILIZADOS†NO†PORTAL†(SITE)†DO†MEC.,PEDAGOGIA,1,0.6
criar_curso_ativ_ava,CRIAR†UM†CURSO†E†AS†RESPECTIVAS†ATIVIDADES†DENTRO†DE†UM†AVA†-†AMBIENTE†VIRTUAL†DE†APRENDIZAGEM.,PEDAGOGIA,3,1.0
des_editar_video_1m_cel,DESENVOLVER†E†EDITAR†UM†VIDEO†DE†UM†MINUTO†UTILIZANDO†O†CELULAR†,PEDAGOGIA,2,0.5
upload_ativ_portal_professor,REALIZAR†UM†UPLOAD†DE†ALGUMA†DE†SUAS†ATIVIDADES†PR·TICAS†PARA†O†PORTAL†DO†PROFESSOR.,PEDAGOGIA,2,0.3
usa_busca_pesq_internet,USAR†AS†FERRAMENTAS†DE†BUSCA†PARA†REALIZAR†PESQUISAS†DIRECIONADAS†NA†INTERNET,PEDAGOGIA,2,0.1
util_projetor_proinfo_trab,UTILIZAR††O†PROJETOR†PROINFO†E/OU†DATASHOW†COM†A†FINALIDADE†DE†TRABALHAR†CONTE˙DOS†RELACIONADOS†AO†SEU†TRABALHO.,PEDAGOGIA,2,0.1
util_web2_ativ_colab_proj,UTILIZAR†A†WEB†2.0†DESENVOLVENDO†ATIVIDADES†COLABORATIVAS†COM†BASE†EM†PROJETOS.,PEDAGOGIA,2,0.9
